Frequency_Hz,Amplitude_dB,Transformer_ID,Condition
729.67,-35.862184475459976,T1,Healthy
746.7,-36.31263274593401,T1,Healthy
764.13,-34.60224602196298,T1,Healthy
781.96,-36.119581554290704,T1,Healthy
800.21,-35.329097806960355,T1,Healthy
818.89,-34.64056996060067,T1,Healthy
838.0,-35.42710035216259,T1,Healthy
857.56,-36.42296591361701,T1,Healthy
877.58,-35.23796503503041,T1,Healthy
898.06,-36.17905516079184,T1,Healthy
919.02,-34.45704987470148,T1,Healthy
940.47,-35.705776402369544,T1,Healthy
962.42,-35.824831373632314,T1,Healthy
984.89,-36.52958920454856,T1,Healthy
1007.88,-34.428680869438494,T1,Healthy
1031.4,-36.503707726895065,T1,Healthy
1055.47,-37.39573315909468,T1,Healthy
1080.11,-36.92053986309364,T1,Healthy
1105.32,-38.04023056876156,T1,Healthy
1131.12,-36.81822269520859,T1,Healthy
1157.52,-37.18530849904267,T1,Healthy
1184.53,-37.32566268933485,T1,Healthy
1212.18,-36.60004248418921,T1,Healthy
1240.47,-36.41636572503109,T1,Healthy
1269.43,-37.786499805386576,T1,Healthy
1299.05,-36.92874286134489,T1,Healthy
1329.37,-35.895920998039,T1,Healthy
1360.4,-38.0605933523424,T1,Healthy
1392.15,-38.79575637229295,T1,Healthy
1424.65,-38.77942069652032,T1,Healthy
1457.9,-37.080952759108996,T1,Healthy
1491.93,-38.409679190704935,T1,Healthy
1526.75,-39.193430684761275,T1,Healthy
1562.38,-37.8147362061415,T1,Healthy
1598.85,-38.92632418096558,T1,Healthy
1636.17,-38.16126442478111,T1,Healthy
1674.36,-39.1931820045699,T1,Healthy
1713.44,-38.603146128088895,T1,Healthy
1753.43,-39.95306940821446,T1,Healthy
1794.35,-39.06257867230689,T1,Healthy
1836.23,-38.66866410046111,T1,Healthy
1879.09,-38.69308176705093,T1,Healthy
1922.95,-39.997829159425116,T1,Healthy
1967.83,-40.42859818388846,T1,Healthy
2013.76,-40.272344960800595,T1,Healthy
2060.76,-40.94296867556271,T1,Healthy
2108.86,-39.86519914150356,T1,Healthy
2158.08,-39.379039281000786,T1,Healthy
2208.45,-40.01734895724948,T1,Healthy
2260.0,-41.97865890865234,T1,Healthy
2312.75,-40.39863267763066,T1,Healthy
2366.73,-40.036587203346066,T1,Healthy
2421.97,-40.40452175016254,T1,Healthy
2478.5,-40.15591576013776,T1,Healthy
2536.35,-39.478498810759405,T1,Healthy
2595.54,-42.02749269926316,T1,Healthy
2656.12,-40.78418082168199,T1,Healthy
2718.12,-41.61828425778679,T1,Healthy
2781.56,-42.596516932915215,T1,Healthy
2846.48,-42.257364514933144,T1,Healthy
2912.92,-41.33985536188521,T1,Healthy
2980.91,-42.4888456706698,T1,Healthy
3050.48,-41.167181543353735,T1,Healthy
3121.68,-43.659128613867296,T1,Healthy
3194.54,-41.87989438937862,T1,Healthy
3269.1,-43.018134180291405,T1,Healthy
3345.41,-43.55586617843688,T1,Healthy
3423.49,-43.52541174719371,T1,Healthy
3503.39,-43.1083563486627,T1,Healthy
3585.16,-43.89854834991211,T1,Healthy
3668.84,-42.54885843214265,T1,Healthy
3754.47,-42.61793150943302,T1,Healthy
3842.1,-45.1550795148098,T1,Healthy
3931.78,-44.12975172960067,T1,Healthy
4023.55,-43.24099871638188,T1,Healthy
4117.46,-44.14356130722776,T1,Healthy
4213.56,-44.20647826432301,T1,Healthy
4311.91,-44.88760105203518,T1,Healthy
4412.55,-44.36129549213907,T1,Healthy
4515.54,-46.18902727277227,T1,Healthy
4620.93,-46.833317707200365,T1,Healthy
4728.78,-47.630854686857234,T1,Healthy
4839.16,-46.24076069644369,T1,Healthy
4952.1,-46.16326483777818,T1,Healthy
5067.69,-46.75984018743901,T1,Healthy
5185.97,-47.23509119432917,T1,Healthy
5307.01,-47.69278067893097,T1,Healthy
5430.87,-47.19943116897991,T1,Healthy
5557.63,-46.04684982047354,T1,Healthy
5687.35,-48.02516298793431,T1,Healthy
5820.09,-46.980620953833714,T1,Healthy
5955.93,-47.340473187469065,T1,Healthy
6094.95,-47.02543957120411,T1,Healthy
6237.2,-48.20423767865154,T1,Healthy
6382.78,-47.94033144930912,T1,Healthy
6531.76,-48.73749603074835,T1,Healthy
6684.21,-48.26520411013377,T1,Healthy
6840.22,-49.27669493441368,T1,Healthy
6999.87,-48.176716797003415,T1,Healthy
7163.25,-49.52765279542701,T1,Healthy
7330.44,-49.55840092699024,T1,Healthy
7501.54,-48.792161932100996,T1,Healthy
7676.63,-50.61129297279479,T1,Healthy
7855.8,-50.8611135130941,T1,Healthy
8039.16,-50.31953784445691,T1,Healthy
8226.79,-49.45417471059089,T1,Healthy
8418.81,-50.2322707437363,T1,Healthy
8615.3,-50.198026275473794,T1,Healthy
8816.39,-50.27889541304362,T1,Healthy
9022.16,-49.45377065543102,T1,Healthy
9232.74,-51.33050603447093,T1,Healthy
9448.24,-51.78207118180731,T1,Healthy
9668.76,-52.01142491873507,T1,Healthy
9894.43,-51.28687371330007,T1,Healthy
10125.37,-51.98146977603151,T1,Healthy
10361.7,-50.76959806477968,T1,Healthy
10603.54,-52.11643706517837,T1,Healthy
10851.03,-52.795407299195766,T1,Healthy
11104.29,-53.814016335510864,T1,Healthy
11363.47,-53.23593046663973,T1,Healthy
11628.7,-52.075012188924056,T1,Healthy
11900.11,-54.0762065225614,T1,Healthy
12177.86,-53.000445688971965,T1,Healthy
12462.1,-54.367597691885365,T1,Healthy
12752.97,-54.98033574213522,T1,Healthy
13050.62,-53.31587170622185,T1,Healthy
13355.23,-54.27266781158145,T1,Healthy
13666.94,-55.18526280215673,T1,Healthy
13985.93,-56.13758223766365,T1,Healthy
14312.37,-54.383805903685555,T1,Healthy
14646.42,-52.96866786880176,T1,Healthy
14988.27,-55.09495521078068,T1,Healthy
15338.1,-56.18950776649596,T1,Healthy
15696.09,-54.86345205094508,T1,Healthy
16062.44,-57.061137900646294,T1,Healthy
16437.34,-55.42126184865123,T1,Healthy
16821.0,-56.07115740074999,T1,Healthy
17213.6,-55.15766212032988,T1,Healthy
17615.37,-58.88553424864174,T1,Healthy
18026.52,-57.11715456258046,T1,Healthy
18447.26,-58.724435694990426,T1,Healthy
18877.82,-58.395622423877974,T1,Healthy
19318.44,-56.683255159600314,T1,Healthy
19769.33,-57.651101973051105,T1,Healthy
20230.75,-57.74250066298669,T1,Healthy
20702.94,-58.09295896179051,T1,Healthy
21186.15,-58.35914264580727,T1,Healthy
21680.64,-58.40720777178826,T1,Healthy
22186.67,-58.80001902803348,T1,Healthy
22704.51,-58.78452378823981,T1,Healthy
23234.44,-59.803882911564635,T1,Healthy
23776.74,-60.55485359506891,T1,Healthy
24331.69,-59.26865372956423,T1,Healthy
24899.6,-62.107676459179046,T1,Healthy
25480.76,-61.021061659500276,T1,Healthy
26075.49,-61.479422573455196,T1,Healthy
26684.1,-59.82552235472296,T1,Healthy
27306.91,-61.01006169650525,T1,Healthy
27944.26,-60.65522228680344,T1,Healthy
28596.48,-62.03507543889705,T1,Healthy
29263.93,-63.24876918707579,T1,Healthy
29946.96,-62.30429454604603,T1,Healthy
30645.93,-62.512136668796465,T1,Healthy
31361.21,-62.60675269216935,T1,Healthy
32093.19,-62.530798761576094,T1,Healthy
32842.25,-62.83815752573953,T1,Healthy
33608.79,-62.32906298560779,T1,Healthy
34393.23,-63.597588054921815,T1,Healthy
35195.97,-63.8515982353436,T1,Healthy
36017.46,-64.89059324907444,T1,Healthy
36858.11,-62.76997373644052,T1,Healthy
37718.39,-63.27439610043449,T1,Healthy
38598.74,-63.60693248670281,T1,Healthy
39499.64,-64.07997785350145,T1,Healthy
40421.57,-64.28222513429499,T1,Healthy
41365.02,-65.11016699596863,T1,Healthy
42330.49,-66.41685184120455,T1,Healthy
43318.49,-67.18981616301564,T1,Healthy
44329.56,-66.16716994288791,T1,Healthy
45364.22,-66.76086414800155,T1,Healthy
46423.03,-68.0263011477845,T1,Healthy
47506.55,-66.32504128000396,T1,Healthy
48615.36,-66.9154628452339,T1,Healthy
49750.06,-67.48113711834776,T1,Healthy
50911.23,-66.83597991072597,T1,Healthy
52099.51,-68.00980836575873,T1,Healthy
53315.53,-67.03096837945037,T1,Healthy
54559.92,-68.03124640371611,T1,Healthy
55833.36,-69.7162946053155,T1,Healthy
57136.53,-67.77423772504038,T1,Healthy
58470.1,-69.47114487370445,T1,Healthy
59834.81,-69.34934419568509,T1,Healthy
61231.37,-70.31867297549968,T1,Healthy
62660.52,-69.57925193720644,T1,Healthy
64123.03,-69.62398111904477,T1,Healthy
65619.67,-69.45376209534493,T1,Healthy
67151.25,-70.88177290778148,T1,Healthy
68718.58,-70.62380294119644,T1,Healthy
70322.48,-70.23051536020724,T1,Healthy
71963.82,-71.12584472110946,T1,Healthy
73643.47,-72.09800039507076,T1,Healthy
75362.33,-71.20896460758998,T1,Healthy
77121.3,-71.670801199971,T1,Healthy
78921.33,-72.27293233952952,T1,Healthy
80763.37,-71.4466269744329,T1,Healthy
82648.4,-72.44771378246917,T1,Healthy
84577.43,-72.44304478850029,T1,Healthy
86551.49,-72.33902741586645,T1,Healthy
88571.62,-71.72130090072895,T1,Healthy
90638.9,-72.77152411035772,T1,Healthy
92754.43,-72.63661023381646,T1,Healthy
94919.34,-73.19351654829393,T1,Healthy
97134.78,-72.79269031145489,T1,Healthy
99401.92,-74.00930360888236,T1,Healthy
101721.99,-73.23690712457044,T1,Healthy
104096.2,-74.9039673244648,T1,Healthy
106525.83,-74.3744216660957,T1,Healthy
109012.16,-75.20309522440066,T1,Healthy
111556.53,-74.75265781242717,T1,Healthy
114160.28,-74.50580425648253,T1,Healthy
116824.81,-74.50341011468139,T1,Healthy
119551.52,-75.87256921038774,T1,Healthy
122341.88,-75.5996274457615,T1,Healthy
125197.37,-76.31836401213575,T1,Healthy
128119.5,-76.30860961092164,T1,Healthy
131109.83,-76.79048508813398,T1,Healthy
134169.97,-77.62605298790405,T1,Healthy
137301.52,-75.89135836618665,T1,Healthy
140506.17,-77.5786560086649,T1,Healthy
143785.61,-77.65036540152646,T1,Healthy
147141.6,-77.23645518147248,T1,Healthy
150575.92,-78.41887911094544,T1,Healthy
154090.39,-79.79125223368234,T1,Healthy
157686.89,-79.44196981972493,T1,Healthy
161367.34,-77.34796073216452,T1,Healthy
165133.68,-80.34168921745062,T1,Healthy
168987.94,-79.67096285759412,T1,Healthy
172932.15,-82.36432225172423,T1,Healthy
176968.43,-79.00102942601409,T1,Healthy
181098.91,-82.06302711777346,T1,Healthy
185325.79,-79.75724346155367,T1,Healthy
189651.34,-79.4059837751926,T1,Healthy
194077.84,-82.06513196443886,T1,Healthy
198607.66,-81.02415505811292,T1,Healthy
203243.2,-82.17189636715543,T1,Healthy
207986.94,-81.59327943542826,T1,Healthy
212841.4,-81.24219491061825,T1,Healthy
217809.17,-81.59540751560564,T1,Healthy
222892.88,-81.69818732287209,T1,Healthy
228095.25,-83.091340818306,T1,Healthy
233419.04,-82.8773574228186,T1,Healthy
238867.09,-81.99016456698493,T1,Healthy
244442.3,-82.87907064176963,T1,Healthy
250147.63,-82.614713097149,T1,Healthy
255986.13,-83.28485128334381,T1,Healthy
261960.9,-83.90564708494703,T1,Healthy
268075.12,-84.28324888774343,T1,Healthy
274332.05,-85.39827387931406,T1,Healthy
280735.02,-86.14991728583405,T1,Healthy
287287.44,-85.6825940302594,T1,Healthy
293992.79,-85.1392342472665,T1,Healthy
300854.64,-85.9091388768362,T1,Healthy
307876.65,-85.38435452023087,T1,Healthy
315062.56,-87.59042691572876,T1,Healthy
322416.18,-86.61282860994143,T1,Healthy
329941.45,-88.0043534995951,T1,Healthy
337642.35,-87.32703197043153,T1,Healthy
345522.99,-87.4956830772955,T1,Healthy
353587.57,-86.92995788131415,T1,Healthy
361840.38,-85.95908277110827,T1,Healthy
370285.81,-86.06222361194497,T1,Healthy
378928.36,-88.07581870764365,T1,Healthy
387772.63,-86.52787763847448,T1,Healthy
396823.33,-88.87246262124759,T1,Healthy
406085.27,-89.00999783035243,T1,Healthy
415563.38,-87.90327082475231,T1,Healthy
425262.72,-88.8009339528826,T1,Healthy
435188.44,-90.42695315077073,T1,Healthy
445345.83,-90.68111762436355,T1,Healthy
455740.3,-90.26599966056214,T1,Healthy
466377.38,-90.89235168181185,T1,Healthy
477262.72,-90.01585285220241,T1,Healthy
488402.14,-90.15582817976703,T1,Healthy
499801.55,-91.3861237974489,T1,Healthy
511467.02,-91.56501307466642,T1,Healthy
523404.77,-91.52120652531931,T1,Healthy
535621.15,-91.24531722078959,T1,Healthy
548122.66,-92.7977102504849,T1,Healthy
560915.96,-90.8504479323084,T1,Healthy
574007.86,-91.92356496381394,T1,Healthy
587405.32,-92.65880728536305,T1,Healthy
601115.49,-91.45988458058793,T1,Healthy
615145.65,-94.20526018993455,T1,Healthy
629503.28,-93.59266903529493,T1,Healthy
644196.02,-93.37852829045356,T1,Healthy
659231.69,-94.41890118448103,T1,Healthy
674618.3,-95.48847498618085,T1,Healthy
690364.03,-92.95609473087652,T1,Healthy
706477.27,-94.37591748550304,T1,Healthy
722966.6,-96.40135781003546,T1,Healthy
739840.8,-95.98704103469414,T1,Healthy
757108.84,-96.23200332948593,T1,Healthy
774779.92,-96.254577613927,T1,Healthy
792863.45,-96.78317575917364,T1,Healthy
811369.05,-96.78942409009136,T1,Healthy
830306.57,-95.0969033729925,T1,Healthy
849686.11,-96.43140767054287,T1,Healthy
869517.96,-97.23867020910801,T1,Healthy
889812.69,-96.93816584071342,T1,Healthy
910581.11,-98.58706785247125,T1,Healthy
931834.27,-96.84563892477351,T1,Healthy
953583.48,-98.42249304951815,T1,Healthy
975840.32,-98.53097658302241,T1,Healthy
998616.64,-99.1041959858141,T1,Healthy
1021924.56,-97.77072200167181,T1,Healthy
1045776.5,-98.18652046024287,T1,Healthy
1070185.14,-99.76541666217535,T1,Healthy
1095163.49,-99.98248970968145,T1,Healthy
1120724.84,-99.34519806198963,T1,Healthy
1146882.8,-100.31431396174803,T1,Healthy
1173651.28,-101.10284459221283,T1,Healthy
1201044.55,-101.38257880357953,T1,Healthy
1229077.19,-100.30037995591327,T1,Healthy
1257764.11,-102.26752518714429,T1,Healthy
1287120.59,-101.37111505655929,T1,Healthy
1317162.26,-101.37755038586751,T1,Healthy
1347905.11,-99.92612865667095,T1,Healthy
1379365.5,-102.95167889203664,T1,Healthy
1411560.18,-103.36834896011763,T1,Healthy
1444506.3,-104.7940745982662,T1,Healthy
1478221.38,-102.42672060793872,T1,Healthy
1512723.38,-103.29500037317418,T1,Healthy
1548030.66,-102.5134366147183,T1,Healthy
1584162.03,-104.03644505428255,T1,Healthy
1621136.71,-103.69749054546173,T1,Healthy
1658974.38,-104.08934655310549,T1,Healthy
1697695.19,-105.16235524271717,T1,Healthy
1737319.76,-105.03299571227909,T1,Healthy
1777869.17,-104.03381271311527,T1,Healthy
1819365.02,-104.62061800221683,T1,Healthy
1861829.38,-104.7219174983938,T1,Healthy
1905284.87,-104.69887889402526,T1,Healthy
1949754.63,-105.92444558331138,T1,Healthy
1995262.31,-104.67911429515368,T1,Healthy
19.95,-34.16351648894892,T2,Healthy
20.42,-34.81072288528251,T2,Healthy
20.89,-34.14081659267337,T2,Healthy
21.38,-34.71298082120258,T2,Healthy
21.88,-34.05460410801571,T2,Healthy
22.39,-32.63331217547364,T2,Healthy
22.92,-34.39085715355144,T2,Healthy
23.45,-33.55803560799237,T2,Healthy
24.0,-34.018121066753956,T2,Healthy
24.56,-33.36027944248026,T2,Healthy
25.13,-34.42996752346633,T2,Healthy
25.72,-33.20469123037585,T2,Healthy
26.32,-32.779124809149494,T2,Healthy
26.93,-34.69554587521753,T2,Healthy
27.56,-33.81694030079827,T2,Healthy
28.2,-32.44209702162009,T2,Healthy
28.86,-32.633677354267476,T2,Healthy
29.54,-34.12621687119674,T2,Healthy
30.22,-33.57369135854572,T2,Healthy
30.93,-34.56137044862689,T2,Healthy
31.65,-34.071739749653474,T2,Healthy
32.39,-34.31809636313168,T2,Healthy
33.15,-35.11340374093643,T2,Healthy
33.92,-32.64130617363249,T2,Healthy
34.71,-32.24763587292548,T2,Healthy
35.52,-33.179209852873896,T2,Healthy
36.35,-31.97237248028506,T2,Healthy
37.2,-32.055743961929764,T2,Healthy
38.07,-34.618460889492894,T2,Healthy
38.96,-34.29674530423286,T2,Healthy
39.87,-33.22454267608978,T2,Healthy
40.8,-33.57786989731391,T2,Healthy
41.75,-33.726623048771906,T2,Healthy
42.72,-34.41045312862958,T2,Healthy
43.72,-34.26836694589871,T2,Healthy
44.74,-32.75484950366194,T2,Healthy
45.78,-32.65902253912781,T2,Healthy
46.85,-33.42696277062867,T2,Healthy
47.95,-33.65675032032362,T2,Healthy
49.07,-32.63889337919517,T2,Healthy
50.21,-32.72812800636698,T2,Healthy
51.38,-32.43313287094921,T2,Healthy
52.58,-32.97744617571971,T2,Healthy
53.81,-34.31068554905884,T2,Healthy
55.07,-31.872746836447387,T2,Healthy
56.35,-32.04575731931046,T2,Healthy
57.67,-33.189681430304816,T2,Healthy
59.01,-33.43110526704325,T2,Healthy
60.39,-32.56655477974301,T2,Healthy
61.8,-32.660222283267125,T2,Healthy
63.24,-33.33044898357815,T2,Healthy
64.72,-33.25945220784077,T2,Healthy
66.23,-33.6850796052873,T2,Healthy
67.77,-33.453227675666625,T2,Healthy
69.36,-31.18263748611728,T2,Healthy
70.97,-32.868758648060734,T2,Healthy
72.63,-31.706893528636307,T2,Healthy
74.33,-32.13562254154446,T2,Healthy
76.06,-31.996398121975282,T2,Healthy
77.84,-32.14530270763341,T2,Healthy
79.65,-32.1319143084048,T2,Healthy
81.51,-33.21954427741875,T2,Healthy
83.41,-31.548010314688913,T2,Healthy
85.36,-33.93336549119624,T2,Healthy
87.35,-31.322439547950584,T2,Healthy
89.39,-32.07556284977648,T2,Healthy
91.48,-32.731677724658006,T2,Healthy
93.61,-32.93614855222061,T2,Healthy
95.8,-31.44040309252202,T2,Healthy
98.04,-32.964407188923246,T2,Healthy
100.32,-32.58762109546451,T2,Healthy
102.67,-32.56865516610542,T2,Healthy
105.06,-31.83768065633704,T2,Healthy
107.51,-34.12060004417661,T2,Healthy
110.02,-33.12099516458559,T2,Healthy
112.59,-34.34114075797662,T2,Healthy
115.22,-32.1511449884267,T2,Healthy
117.91,-30.785388002653328,T2,Healthy
120.66,-32.96962275429334,T2,Healthy
123.48,-34.10447707929726,T2,Healthy
126.36,-33.409719637075675,T2,Healthy
129.31,-30.568471952859603,T2,Healthy
132.33,-33.25024047944265,T2,Healthy
135.41,-34.000341935613314,T2,Healthy
138.57,-32.06140024891747,T2,Healthy
141.81,-33.339132368109695,T2,Healthy
145.12,-31.609253970258507,T2,Healthy
148.51,-31.977629822400296,T2,Healthy
151.97,-32.207177674390266,T2,Healthy
155.52,-33.08661607241832,T2,Healthy
159.15,-32.48765044885175,T2,Healthy
162.86,-34.26599169899256,T2,Healthy
166.66,-32.452344741670196,T2,Healthy
170.55,-30.959944945834007,T2,Healthy
174.54,-32.83536275818501,T2,Healthy
178.61,-32.33527413775839,T2,Healthy
182.78,-31.151942664008452,T2,Healthy
187.04,-31.574830930345705,T2,Healthy
191.41,-31.52497577349056,T2,Healthy
195.88,-32.102866726309045,T2,Healthy
200.45,-31.826607613997734,T2,Healthy
205.13,-33.06716327403416,T2,Healthy
209.92,-34.31311713606381,T2,Healthy
214.81,-33.62819034311857,T2,Healthy
219.83,-32.77436542738404,T2,Healthy
224.96,-32.476107227083745,T2,Healthy
230.21,-33.410811890768784,T2,Healthy
235.58,-33.25095393479616,T2,Healthy
241.08,-31.865408908694604,T2,Healthy
246.71,-32.872530032454605,T2,Healthy
252.47,-31.193256147631946,T2,Healthy
258.36,-32.70896721465612,T2,Healthy
264.39,-32.60131559297382,T2,Healthy
270.56,-32.776068962491735,T2,Healthy
276.88,-33.23631452474053,T2,Healthy
283.34,-32.84695139841567,T2,Healthy
289.95,-33.15940259955442,T2,Healthy
296.72,-33.05141849616788,T2,Healthy
303.64,-32.85786896699772,T2,Healthy
310.73,-33.37525438490287,T2,Healthy
317.98,-31.463281693905223,T2,Healthy
325.41,-34.808810605677294,T2,Healthy
333.0,-33.149811731269196,T2,Healthy
340.77,-33.174463657523944,T2,Healthy
348.73,-33.91285574025119,T2,Healthy
356.87,-33.69118511602618,T2,Healthy
365.2,-34.463940204665846,T2,Healthy
373.72,-33.47803791613617,T2,Healthy
382.44,-33.10861956526603,T2,Healthy
391.37,-33.42206279780932,T2,Healthy
400.5,-33.19665863621844,T2,Healthy
409.85,-32.03503160538381,T2,Healthy
419.42,-32.55151529221111,T2,Healthy
429.21,-33.715554451417404,T2,Healthy
439.22,-33.234734071619926,T2,Healthy
449.47,-32.56800075488379,T2,Healthy
459.97,-33.88668829712248,T2,Healthy
470.7,-33.7061450291438,T2,Healthy
481.69,-33.76391742395462,T2,Healthy
492.93,-33.252640046223235,T2,Healthy
504.44,-33.108024750263006,T2,Healthy
516.21,-34.07336707724702,T2,Healthy
528.26,-34.25362092864033,T2,Healthy
540.59,-33.55649593419869,T2,Healthy
553.2,-34.992249859933985,T2,Healthy
566.12,-33.63173376801658,T2,Healthy
